ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,on_time,high_care_calls,discount_tier,weight_category,is_high_value,is_repeat_customer,low_satisfaction,failure_risk_score,predicted_outcome,predicted_label,risk_tier
1,3,0,4,2,177,3,1,0,44,1233,1,1,0,1,0,1,1,0.0005818967,0,On Time,Low Risk
2,4,0,4,5,216,2,1,1,59,3088,1,1,0,0,1,0,0,0.00043098535,0,On Time,Low Risk
3,0,0,2,2,183,4,1,1,48,3374,1,0,0,0,0,1,1,0.0005512273,0,On Time,Low Risk
4,1,0,3,3,176,4,2,1,10,1177,1,0,1,1,0,1,0,0.41236064,0,On Time,Medium Risk
5,2,0,2,2,184,3,2,0,46,2484,1,0,0,1,0,1,1,0.00043712786,0,On Time,Low Risk
6,4,0,3,1,162,3,2,0,12,1417,1,0,2,1,0,1,1,0.00053054164,0,On Time,Low Risk
7,3,0,3,4,250,3,1,0,3,2371,1,0,1,1,1,1,0,0.02074076,0,On Time,Low Risk
8,4,0,4,1,233,2,1,0,48,2804,1,1,0,1,1,0,1,0.00046356017,0,On Time,Low Risk
9,0,0,3,4,150,3,1,0,11,1861,1,0,2,1,0,1,0,0.0009864564,0,On Time,Low Risk
10,1,0,3,2,164,3,2,0,29,1187,1,0,2,1,0,1,1,0.00079142104,0,On Time,Low Risk
11,2,0,3,4,189,2,2,1,12,2888,1,0,2,1,0,0,0,0.00053965166,0,On Time,Low Risk
12,4,0,4,5,232,3,2,0,32,3253,1,1,0,0,1,1,0,0.00040819682,0,On Time,Low Risk
13,3,0,3,5,198,3,2,0,1,3667,1,0,1,0,0,1,0,0.02270203,0,On Time,Low Risk
14,4,0,4,4,275,3,0,1,29,2602,1,1,2,1,1,1,0,0.00036749511,0,On Time,Low Risk
15,0,0,4,3,152,3,1,1,43,1009,1,1,0,1,0,1,0,0.0009618075,0,On Time,Low Risk
16,1,0,4,3,227,3,1,0,45,2707,1,1,0,1,1,1,0,0.00043299104,0,On Time,Low Risk
17,2,0,3,4,143,2,2,0,6,1194,1,0,1,1,0,0,0,0.105499975,0,On Time,Low Risk
18,4,2,5,5,227,3,2,1,36,3952,1,1,0,0,1,1,0,0.00050722325,0,On Time,Low Risk
19,3,2,5,5,239,3,0,1,18,2495,1,1,2,1,1,1,0,0.00061947166,0,On Time,Low Risk
20,4,2,4,5,145,3,2,1,45,1059,1,1,0,1,0,1,0,0.00069876056,0,On Time,Low Risk
21,0,2,3,3,161,2,2,0,38,1521,1,0,0,1,0,0,0,0.00059629924,0,On Time,Low Risk
22,1,2,3,1,232,4,2,0,51,2899,1,0,0,1,1,1,1,0.00054542086,0,On Time,Low Risk
23,2,2,2,5,156,2,1,1,2,1750,1,0,1,1,0,0,0,0.101556726,0,On Time,Low Risk
24,4,2,4,3,211,3,0,1,12,3922,1,1,2,0,0,1,0,0.00047310328,0,On Time,Low Risk
25,3,2,4,5,251,2,2,0,28,3561,1,1,2,0,1,0,0,0.0005500629,0,On Time,Low Risk
26,4,2,3,1,225,4,1,1,29,3496,1,0,2,0,1,1,1,0.00065405393,0,On Time,Low Risk
27,0,2,4,1,172,3,0,0,24,1066,1,1,2,1,0,1,1,0.00056166394,0,On Time,Low Risk
28,1,2,5,1,162,3,2,1,31,1435,1,1,0,1,0,1,1,0.0005793276,0,On Time,Low Risk
29,2,2,2,3,234,4,1,1,44,3134,1,0,0,0,1,1,0,0.00057128904,0,On Time,Low Risk
30,4,2,5,4,183,2,1,0,36,3819,1,1,0,0,0,0,0,0.00044220773,0,On Time,Low Risk
31,3,2,3,4,266,2,2,0,38,2741,1,0,0,1,1,0,0,0.00054674037,0,On Time,Low Risk
32,4,2,5,3,257,2,1,0,61,3341,1,1,0,0,1,0,0,0.0005870893,0,On Time,Low Risk
33,0,2,3,1,223,3,1,0,22,3795,1,0,2,0,1,1,1,0.0005021155,0,On Time,Low Risk
34,1,2,4,2,234,3,2,1,4,3261,1,1,1,0,1,1,1,0.038848076,0,On Time,Low Risk
35,2,2,4,2,227,4,2,0,22,2460,1,1,2,1,1,1,1,0.00069691474,0,On Time,Low Risk
36,4,2,5,4,149,3,2,0,44,1811,1,1,0,1,0,1,0,0.0008638304,0,On Time,Low Risk
37,3,2,3,5,137,4,0,0,62,1477,1,0,0,1,0,1,0,0.000515166,0,On Time,Low Risk
38,4,2,2,4,181,6,2,0,16,3605,1,0,2,0,0,1,0,0.0006039908,0,On Time,Low Risk
39,0,2,5,1,215,4,1,0,56,3905,1,1,0,0,1,1,1,0.0008435646,0,On Time,Low Risk
40,1,2,4,2,269,5,1,0,45,2383,1,1,0,1,1,1,1,0.0006083249,0,On Time,Low Risk
