ds,yhat,yhat_lower,yhat_upper
2016-10-09,26.52386578931546,-259.85600332522296,303.0516135864308
2016-10-16,39.951951278745554,-257.99169576389994,331.8764107317344
2017-01-08,190.2798976256489,-102.74095584917869,467.50356117874935
2017-01-15,417.02665913399426,128.7036763476999,716.6896249665065
2017-01-22,456.99212753044924,167.77073961331257,711.230579493334
2017-01-29,425.59808287961073,150.77759185722118,706.9199324895949
2017-02-05,454.4078335360636,181.25140986196794,748.2006759328094
2017-02-12,544.2251533235444,250.77741328434988,807.5577353306197
2017-02-19,608.3526629241126,310.1154139427362,881.9323526154541
2017-02-26,607.2749697196941,333.73955648395463,876.4011468476505
2017-03-05,592.748214181845,302.6278796203276,858.0667064987246
2017-03-12,623.246815836872,344.16389568640903,912.12114145761
2017-03-19,678.3259907694284,383.26632912089104,965.2070744006189
2017-03-26,685.39655643193,385.1082797147949,987.6576700908328
2017-04-02,619.3218246082124,326.80234171192484,911.6436342819944
2017-04-09,545.9512743812871,271.08411024462623,823.3703100502479
2017-04-16,556.4933426130633,254.95973096251242,846.4688202860186
2017-04-23,671.534639010793,392.3660363374905,966.1873613930035
2017-04-30,820.1106402892359,517.9222322105875,1102.4968143089002
2017-05-07,905.7020299977894,630.8195581332121,1177.9611993743777
2017-05-14,882.9877351123558,592.3907996642107,1184.1601201180833
2017-05-21,779.6739088950155,486.1916191515329,1078.1436620259526
2017-05-28,666.0625655959459,372.4226405351433,958.3265643016192
2017-06-04,609.6290493821455,306.5776585697012,891.0203373277375
2017-06-11,636.5501110581356,357.8326938798161,910.4829330403282
2017-06-18,710.8680776031714,417.91581174730794,986.5741750723942
2017-06-25,754.05721054375,449.2090099383587,1058.7889360682116
2017-07-02,714.901143306877,419.53215322173077,1018.0506569475602
2017-07-09,639.1246238677306,328.1743561732886,917.9831234590854
2017-07-16,651.6736451538704,368.39006733981483,951.8187050452987
2017-07-23,833.9390246527956,537.2577403745889,1103.306832810478
2017-07-30,1107.358153495624,825.9378064410986,1411.7338864573164
2017-08-06,1266.3907327043728,978.9785234857771,1575.5435940621396
2017-08-13,1162.3679544992892,849.4142315935593,1470.1151100023897
2017-08-20,861.174686726137,575.5704718563783,1136.2033727504238
2017-08-27,598.5615427129419,317.4868196454116,868.2705949013388
2017-09-03,564.6515473631869,262.101507288314,862.0653689518053
2017-09-10,739.9074153587666,450.8888998959794,1035.4464735672868
2017-09-17,950.8671663288638,648.4519664560767,1234.754450413982
2017-09-24,1066.5160353389667,769.7156133032233,1375.4117796243324
2017-10-01,1104.1396575870842,816.3667529906392,1370.7995911891646
2017-10-08,1139.135079235415,857.9104375794756,1415.467179595705
2017-10-15,1163.062819096467,869.3159246955087,1449.3636435508427
2017-10-22,1096.3464692513571,791.6745068739931,1377.7010870885836
2017-10-29,950.9764677383355,646.6955703833122,1227.7251490391104
2017-11-05,916.255112562382,631.5558250758869,1186.2694988430756
2017-11-12,1202.4112720923292,918.7742624752111,1480.1282811246458
2017-11-19,1774.7384580595622,1488.5820340726493,2059.7484059402177
2017-11-26,2289.4847835073106,1993.3279584700128,2569.515421367081
2017-12-03,2359.327950517097,2073.5973297029004,2637.8505737719233
2017-12-10,1912.108356502948,1622.2943589693755,2207.459643358336
2017-12-17,1275.9528065771287,982.0469684833456,1564.0251754615424
2017-12-24,892.8797905728059,626.2322595880639,1174.7233413635222
2017-12-31,944.6110347950148,630.1357072620989,1226.635117370541
2018-01-07,1237.6977673087063,936.3866556666159,1539.5383740540756
2018-01-14,1480.9954541834402,1190.584833414727,1753.3852067184353
2018-01-21,1535.3995527465506,1248.7507618663167,1824.398359477266
2018-01-28,1490.148847675801,1198.6818546418458,1774.6047623382924
2018-02-04,1489.3179905110055,1203.770088084131,1769.1713534450787
2018-02-11,1559.3315533003224,1282.3737922844139,1862.5866325262825
2018-02-18,1619.2159148948276,1337.0590668835343,1915.9005902836466
